,Year,Country,Performer,Song,Place F,Points F,Place SF1,Points SF1,Place SF2,Points SF2
308,1975,Yugoslavia,b'Pepel In Kri',b'Dan Ljubezni',13,22,,,,
309,1976,Austria,b'Waterloo and Robinson',b'My Little World',5,80,,,,
310,1976,Belgium,b'Pierre Rapsat',b'Judy Et Cie.',8,68,,,,
311,1976,Finland,b'Fredi and The Friends',b'Pump-pump',11,44,,,,
312,1976,France,b'Catherine Ferry',"b'Un, Deux, Trois'",2,147,,,,
313,1976,Germany,b'Les Humphries Singers',"b'Sing, Sang, Song'",15,12,,,,
314,1976,Greece,b'Mariza Koch',"b'Panaghia Mou, Panaghia Mou'",13,20,,,,
315,1976,Ireland,b'Red Hurley',b'When',10,54,,,,
316,1976,Israel,"b'Chocolate, Menta, Mastik'",b'Emor Shalom',6,77,,,,
317,1976,Italy,b'Romina and Al Bano',"b""We'll Live It All Again""",7,69,,,,
318,1976,Luxembourg,b'J\xc3\xbcrgen Marcus',"b""Chansons Pour Ceux Qui S'aiment""",14,17,,,,
319,1976,Monaco,b'Mary Christy',"b'Toi, La Musique Et Moi'",3,93,,,,
320,1976,Netherlands,b'Sandra Reemer',"b""The Party's Over Now""",9,56,,,,
321,1976,Norway,b'Anne-Karine Str\xc3\xb6m',b'Mata Hari',18,7,,,,
322,1976,Portugal,b'Carlos do Carmo',b'Uma Flor De Verde Pinho',12,24,,,,
323,1976,Spain,b'Braulio',b'Sobran Las Palabras',16,11,,,,
324,1976,Switzerland,"b'Peter, Sue and Marc'","b'Djambo, Djambo'",4,91,,,,
325,1976,United Kingdom,b'Brotherhood of Man',b'Save Your Kisses For Me',1,164,,,,
326,1976,Yugoslavia,b'Ambasadori',b'Ne Mogu Skriti Svoju Bol',17,10,,,,
327,1977,Austria,b'Schmetterlinge',b'Boom Boom Boomerang',17,11,,,,
328,1977,Belgium,b'Dream Express',"b'A Million In One, Two, Three'",7,69,,,,
329,1977,Finland,b'Monica Aspelund',b'Lapponia',10,50,,,,
330,1977,France,b'Marie Myriam',"b""L'oiseau Et L'enfant""",1,136,,,,
331,1977,Germany,b'Silver Convention',b'Telegram',8,55,,,,
332,1977,Greece,"b'Pascalis, Marianna, Robert and Bessy'",b'Mathema Solfege',5,92,,,,
333,1977,Ireland,b'The Swarbriggs Plus Two',"b""It's Nice To Be In Love Again""",3,119,,,,
334,1977,Israel,b'Ilanit',b'Ah-haa-vah Hee Shir Lish-naa-yim',11,49,,,,
335,1977,Italy,b'Mia Martini',b'Liber\xc3\xa0',13,33,,,,
336,1977,Luxembourg,b'Anne Marie B.',b'Fr\xc3\xa8re Jacques',16,17,,,,
337,1977,Monaco,b'Mich\xc3\xa8le Torr',b'Une Petite Fran\xc3\xa7aise',4,96,,,,
338,1977,Netherlands,b'Heddy Lester',b'De Mallemolen',12,35,,,,
339,1977,Norway,b'Anita Skorgan',b'Casanova',14,18,,,,
340,1977,Portugal,b'Os Amigos',b'Portugal No Cora\xc3\xa7\xc3\xa3o',14,18,,,,
341,1977,Spain,b'Micky',b'Ense\xc3\xb1ame A Cantar',9,52,,,,
342,1977,Sweden,b'Forbes',b'Beatles',18,2,,,,
343,1977,Switzerland,b'Pepe Lienhard Band',b'Swiss Lady',6,71,,,,
344,1977,United Kingdom,b'Lynsey de Paul and Mike Moran',b'Rock Bottom',2,121,,,,
345,1978,Austria,b'Springtime',b'Mrs. Caroline Robinson',15,14,,,,
346,1978,Belgium,b'Jean Vall\xc3\xa9e',"b""L'amour \xc3\xa7a Fait Chanter La Vie""",2,125,,,,
347,1978,Denmark,b'Mabel',b'Boom Boom',16,13,,,,
348,1978,Finland,b'Seija Simola',b'Anna Rakkaudelle Tilaisuus',18,2,,,,
349,1978,France,b'Jo\xc3\xabl Pr\xc3\xa9vost',b'Il Y Aura Toujours Des Violons',3,119,,,,
350,1978,Germany,b'Ireen Sheer',b'Feuer',6,84,,,,
351,1978,Greece,b'Tania Tsanaklidou',b'Charlie Chaplin',8,66,,,,
352,1978,Ireland,b'Colm T. Wilkinson',b'Born To Sing',5,86,,,,
353,1978,Israel,b'Izhar Cohen and the Alphabeta',b'Abanibi',1,157,,,,
354,1978,Italy,b'Ricchi e Poveri',b'Questo Amore',12,53,,,,
355,1978,Luxembourg,b'Baccara',b'Parlez-vous Fran\xc3\xa7ais?',7,73,,,,
356,1978,Monaco,b'Caline and Olivier Toussaint',b'Les Jardins De Monaco',4,107,,,,
357,1978,Netherlands,b'Harmony',"b""'t Is Ok""",13,37,,,,
358,1978,Norway,b'Jahn Teigen',b'Mil Etter Mil',20,0,,,,
359,1978,Portugal,b'Gemini',b'Dai-li-dou',17,5,,,,
360,1978,Spain,b'Jos\xc3\xa9 V\xc3\xa9lez',b'Bailemos Un Vals',9,65,,,,
361,1978,Sweden,b'Bj\xc3\xb6rn Skifs',b'Det Blir Alltid V\xc3\xa4rre Fram\xc3\xa5t Natten',14,26,,,,
362,1978,Switzerland,b'Carole Vinci',b'Vivre',9,65,,,,
363,1978,Turkey,b'Nazar',b'Sevin\xc3\xa7e',18,2,,,,
364,1978,United Kingdom,b'Co-Co',b'The Bad Old Days',11,61,,,,
365,1979,Austria,b'Christina Simon',b'Heute In Jerusalem',18,5,,,,
366,1979,Belgium,b'Micha Marah',b'Hey Nana',18,5,,,,
367,1979,Denmark,b'Tommy Seebach',b'Disco Tango',6,76,,,,
368,1979,Finland,b'Katri-Helena',b'Katso Sineen Taivaan',14,38,,,,
369,1979,France,b'Anne-Marie David',"b""Je Suis L'enfant-soleil""",3,106,,,,
370,1979,Germany,b'Dschinghis Khan',b'Dschinghis Khan',4,86,,,,
371,1979,Greece,b'Elpida',b'Socrates',8,69,,,,
372,1979,Ireland,b'Cathal Dunne',b'Happy Man',5,80,,,,
373,1979,Israel,b'Milk and Honey',b'Hallelujah',1,125,,,,
374,1979,Italy,b'Matia Bazar',b'Raggio Di Luna',15,27,,,,
375,1979,Luxembourg,b'Jeane Manson',"b""J'ai D\xc3\xa9j\xc3\xa0 Vu \xc3\xa7a Dans Tes Yeux""",13,44,,,,
376,1979,Monaco,b'Laurent Vaguener',"b""Notre Vie, C'est La Musique""",16,12,,,,
377,1979,Netherlands,b'Xandra',b'Colorado',12,51,,,,
378,1979,Norway,b'Anita Skorgan',b'Oliver',11,57,,,,
379,1979,Portugal,b'Manuela Bravo',"b'Sobe, Sobe, Bal\xc3\xa3o Sobe'",9,64,,,,
380,1979,Spain,b'Betty Missiego',b'Su Canci\xc3\xb3n',2,116,,,,
381,1979,Sweden,b'Ted G\xc3\xa4rdestad',b'Satellit',17,8,,,,
382,1979,Switzerland,"b'Peter, Sue and Marc and Pfuri, Gorps and Kniri'",b'Tr\xc3\xb6dler Und Co.',10,60,,,,
383,1979,United Kingdom,b'Black Lace',b'Mary Ann',7,73,,,,
384,1980,Austria,b'Blue Danube',b'Du Bist Musik',8,64,,,,
385,1980,Belgium,b'Telex',b'Euro-vision',17,14,,,,
386,1980,Denmark,b'Bamses Venner',b'T\xc3\xa6nker Altid P\xc3\xa5 Dig',14,25,,,,
387,1980,Finland,b'Vesa-Matti Loiri',b'Huilumies',19,6,,,,
388,1980,France,b'Profil',"b""H\xc3\xa9, H\xc3\xa9 M'sieurs Dames""",11,45,,,,
389,1980,Germany,b'Katja Ebstein',b'Theater',2,128,,,,
390,1980,Greece,b'Anna Vissi and the Epikouri',b'Autostop',13,30,,,,
391,1980,Ireland,b'Johnny Logan',"b""What's Another Year""",1,143,,,,
392,1980,Italy,b'Alan Sorrenti',b'Non So Che Darei',6,87,,,,
393,1980,Luxembourg,b'Sophie and Magaly',b'Papa Pingouin',9,56,,,,
394,1980,Marocco,b'Samira Bensa\xc3\xafd',b'Bitakat Hob',18,7,,,,
395,1980,Netherlands,b'Maggie MacNeal',b'Amsterdam',5,93,,,,
396,1980,Norway,b'Sverre Kjellsberg and Mattis H\xc3\xa6tta',b'S\xc3\xa1miid \xc3\x86dnan',16,15,,,,
397,1980,Portugal,b'Jos\xc3\xa9 Cid',"b'Um Grande, Grande Amor'",7,71,,,,
398,1980,Spain,b'Trigo Limpio',b'Qu\xc3\xa9 Date Esta Noche',12,38,,,,
399,1980,Sweden,b'Tomas Ledin',b'Just Nu!',10,47,,,,
400,1980,Switzerland,b'Paola',b'Cin\xc3\xa9ma',4,104,,,,
401,1980,Turkey,b'Ajda Pekkan',"b""Petr'oil""",15,23,,,,
402,1980,United Kingdom,b'Prima Donna',b'Love Enough For Two',3,106,,,,
403,1981,Austria,b'Marty Brem',b'Wenn Du Da Bist',17,20,,,,
404,1981,Belgium,b'Emly Starr',b'Samson',13,40,,,,
405,1981,Cyprus,b'Island',b'Monika',6,69,,,,
406,1981,Denmark,b'Debbie Cameron and Tommy Seebach',b'Kr\xc3\xb8ller Eller Ej',11,41,,,,
407,1981,Finland,b'Riki Sorsa',b'Reggae O.k.',16,27,,,,
408,1981,France,b'Jean Gabilou',b'Humanahum',3,125,,,,
409,1981,Germany,b'Lena Valaitis',b'Johnny Blue',2,132,,,,
410,1981,Greece,b'Yiannis Dimitras',b'Feggari Kalokerino',8,55,,,,
411,1981,Ireland,b'Sheeba',b'Horoscopes',5,105,,,,
412,1981,Israel,b'Habibi',b'Halaylah',7,56,,,,
413,1981,Luxembourg,b'Jean-Claude Pascal',"b""C'est Peut-\xc3\xaatre Pas L'am\xc3\xa9rique""",11,41,,,,
414,1981,Netherlands,b'Linda Williams',b'Het Is Een Wonder',9,51,,,,
415,1981,Norway,b'Finn Kalvik',b'Aldri I Livet',20,0,,,,
416,1981,Portugal,b'Carlos Pai\xc3\xa3o',b'Play-back',18,9,,,,
417,1981,Spain,b'Bacchelli',b'Y Solo T\xc3\xba',14,38,,,,
418,1981,Sweden,b'Bj\xc3\xb6rn Skifs',b'F\xc3\xa5ngad I En Dr\xc3\xb6m',10,50,,,,
419,1981,Switzerland,"b'Peter, Sue and Marc'",b'Io Senza Tei',4,121,,,,
420,1981,Turkey,b'Modern Folk Trio and Ayseg\xc3\xbcl',b'D\xc3\xb6nme Dolap',18,9,,,,
421,1981,United Kingdom,b'Bucks Fizz',b'Making Your Mind Up',1,136,,,,
422,1981,Yugoslavia,b'Seid-Memic Vajta',b'Leila',15,35,,,,
423,1982,Austria,b'Mess',b'Sonntag',9,57,,,,
424,1982,Belgium,b'Stella',b'Si Tu Aimes Ma Musique',4,96,,,,
425,1982,Cyprus,b'Anna Vissi',b'Mono I Agapi',5,85,,,,
426,1982,Denmark,b'Brixx',b'Video-video',17,5,,,,
427,1982,Finland,b'Kojo',b'Nuku Pommiin',18,0,,,,
428,1982,Germany,b'Nicole',b'Ein Bi\xc3\x9fchen Frieden',1,161,,,,
429,1982,Ireland,b'The Duskeys',"b'Here Today, Gone Tomorrow'",11,49,,,,
430,1982,Israel,b'Avi Toledano',b'Hora',2,100,,,,
431,1982,Luxembourg,b'Svetlana',b'Cours Apr\xc3\xa8s Le Temps',6,78,,,,
432,1982,Netherlands,b'Bill van Dijk',b'Jij En Ik',16,8,,,,
433,1982,Norway,b'Jahn Teigen and Anita Skorgan',b'Adieu',12,40,,,,
434,1982,Portugal,b'Doce',b'Bem-bom',13,32,,,,
435,1982,Spain,b'Luc\xc3\xada',b'\xc3\x89l',10,52,,,,
436,1982,Sweden,b'Chips',b'Dag Efter Dag',8,67,,,,
437,1982,Switzerland,b'Arlette Zola',"b""Amour On T'aime""",3,97,,,,
438,1982,Turkey,b'Ne\xc3\xa7o',b'Hani',15,20,,,,
439,1982,United Kingdom,b'Bardo',b'One Step Further',7,76,,,,
440,1982,Yugoslavia,b'Aska',b'Halo Halo',14,21,,,,
441,1983,Austria,b'Westend',b'Hurricane',9,53,,,,
442,1983,Belgium,b'Pas de Deux',b'Rendez-vous',18,13,,,,
443,1983,Cyprus,b'Stavros and Constantina',b'I Agapi Akoma Zi',16,26,,,,
444,1983,Denmark,b'Gry Johansen',b'Kloden Drejer',17,16,,,,
445,1983,Finland,b'Ami Aspelund',b'Fantasiaa',11,41,,,,
446,1983,France,b'Guy Bonnet',b'Vivre',8,56,,,,
447,1983,Germany,b'Hoffmann und Hoffmann',b'R\xc3\xbccksicht',5,94,,,,
448,1983,Greece,b'Christie',b'Mou Les',14,32,,,,
449,1983,Israel,b'Ofra Haza',b'Hi',2,136,,,,
450,1983,Italy,b'Riccardo Fogli',b'Per Lucia',11,41,,,,
451,1983,Luxembourg,b'Corinne Herm\xc3\xa8s',b'Si La Vie Est Cadeau',1,142,,,,
452,1983,Netherlands,b'Bernadette',b'Sing Me A Song',7,66,,,,
453,1983,Norway,b'Jahn Teigen',b'Do Re Mi',9,53,,,,
454,1983,Portugal,b'Armando Gama',b'Esta Balada Que Te Dou',13,33,,,,
455,1983,Spain,b'Remedios Amaya',b'\xc2\xbfqui\xc3\xa9n Maneja Mi Barca?',19,0,,,,
456,1983,Sweden,b'Carola H\xc3\xa4ggkvist',b'Fr\xc3\xa4mling',3,126,,,,
457,1983,Switzerland,b'Mariella Farr\xc3\xa9',b'Io Cos\xc3\xac Non Ci Sto',15,28,,,,
458,1983,Turkey,b'\xc3\x87etin Alp and the Short Wave',b'Opera',19,0,,,,
459,1983,United Kingdom,b'Sweet Dreams',"b""I'm Never Giving Up""",6,79,,,,
460,1983,Yugoslavia,b'Danijel',b'Dzuli',4,125,,,,
461,1984,Austria,b'Anita',b'Einfach Weg',19,5,,,,
462,1984,Belgium,b'Jacques Zegers',b'Avanti La Vie',5,70,,,,
463,1984,Cyprus,b'Andy Paul',b'Anna Mari-elena',15,31,,,,
464,1984,Denmark,b'Hot Eyes',"b""Det' Lige Det""",4,101,,,,
465,1984,Finland,b'Kirka',b'Hengaillaan',9,46,,,,
466,1984,France,b'Annick Thoumazeau',"b""Autant D'amoureux Que D'\xc3\xa9toiles""",8,61,,,,
467,1984,Germany,b'Mary Roos',"b""Aufrecht Geh'n""",13,34,,,,
468,1984,Ireland,b'Linda Martin',"b""Terminal '3'""",2,137,,,,
469,1984,Italy,b'Alice and Battiato',b'I Treni Di Tozeur',5,70,,,,
470,1984,Luxembourg,b'Sophie Carle',"b""100% D'amour""",10,39,,,,
471,1984,Netherlands,b'Maribelle',b'Ik Hou Van Jou',13,34,,,,
472,1984,Norway,b'Dollie de Luxe',b'Lenge Leve Livet',17,29,,,,
473,1984,Portugal,b'Maria Guinot',b'Sil\xc3\xaancio E Tanta Gente',11,38,,,,
474,1984,Spain,b'Bravo',"b'Lady, Lady'",3,106,,,,
475,1984,Sweden,"b""Herrey's""",b'Diggi-loo Diggy-ley',1,145,,,,
476,1984,Switzerland,b'Rainy Day',b'Welche Farbe Hat Der Sonnenschein',16,30,,,,
477,1984,Turkey,"b'Bes Yil \xc3\x96nce, On Yil Sonra'",b'Halay',12,37,,,,
478,1984,United Kingdom,b'Belle and the Devotions',b'Love Games',7,63,,,,
479,1984,Yugoslavia,b'Vlado and Isolda',b'Ciao Amore',18,26,,,,
480,1985,Austria,b'Gary Lux',b'Kinder Dieser Welt',8,60,,,,
481,1985,Belgium,b'Linda Lepomme',b'Laat Me Nu Gaan',19,7,,,,
482,1985,Cyprus,b'Lia Vissi',b'To Katalava Arga',16,15,,,,
483,1985,Denmark,b'Hot Eyes',"b""Sku' Du Sp\xc3\xb8r Fra No'n""",11,41,,,,
484,1985,Finland,b'Sonja Lumme',b'El\xc3\xa4k\xc3\xb6\xc3\xb6n El\xc3\xa4m\xc3\xa4',9,58,,,,
485,1985,France,b'Roger Bens',b'Femme Dans Ses R\xc3\xaaves Aussi',10,56,,,,
486,1985,Germany,b'Wind',b'F\xc3\xbcr Alle',2,105,,,,
487,1985,Greece,b'Takis Biniaris',b'Miazoume',16,15,,,,
488,1985,Ireland,b'Maria Christian',b'Wait Until The Weekend Comes',6,91,,,,
489,1985,Israel,b'Izhar Cohen',b'Ol\xc3\xa9 Ol\xc3\xa9',5,93,,,,
490,1985,Italy,b'Al Bano and Romina Power',"b'Magic, Oh Magic'",7,78,,,,
491,1985,Luxembourg,"b'Margo, Franck Olivier, Diane Solomon, Ireen Sheer, Malcolm Roberts,Chris Roberts'","b'Children, Kinder, Enfants'",13,37,,,,
492,1985,Norway,b'Bobbysocks',b'La Det Swinge',1,123,,,,
493,1985,Portugal,b'Adela\xc3\xafde',"b'Penso Em Ti, Eu Sei'",18,9,,,,
494,1985,Spain,b'Paloma San Basilio',b'La Fiesta Termin\xc3\xb3',14,36,,,,
495,1985,Sweden,b'Kikki Danielsson',b'Bra Vibrationer',3,103,,,,
496,1985,Switzerland,b'Mariella Farr\xc3\xa9 and Pino Gasparini',b'Piano Piano',12,39,,,,
497,1985,Turkey,b'MF\xc3\x96',"b""Di Dai Di Dai Dai (a'sik Oldum)""",14,36,,,,
498,1985,United Kingdom,b'Vikki',b'Love Is...',4,100,,,,
499,1986,Austria,b'Timna Brauer',b'Die Zeit Ist Einsam',18,12,,,,
500,1986,Belgium,b'Sandra Kim',"b""J'aime La Vie""",1,176,,,,
501,1986,Cyprus,b'Elpida',b'Tora Zo',20,4,,,,
502,1986,Denmark,b'Lise Haavik and Trax',b'Du Er Fuld Af L\xc3\xb8gn',6,77,,,,
503,1986,Finland,b'Kari Kuivalainen',b'P\xc3\xa4iv\xc3\xa4 Kahden Ihmisen',15,22,,,,
504,1986,France,b'Cocktail Chic',b'Europ\xc3\xa9ennes',17,13,,,,
505,1986,Germany,b'Ingrid Peters',"b""\xc3\x9cber Die Br\xc3\xbccke Geh'n""",8,62,,,,
506,1986,Iceland,b'Icy',b'Gle\xc3\xb0ibankinn',16,19,,,,
507,1986,Ireland,b'Luv Bug',b'You Can Count On Me',4,96,,,,
508,1986,Israel,b'Moti Galadi and Sarai Tzuriel',b'Yavoh Yom',19,7,,,,
509,1986,Luxembourg,b'Sherisse Laurence',"b""L'amour De Ma Vie""",3,117,,,,
510,1986,Netherlands,b'Frizzle Sizzle',b'Alles Heeft Ritme',13,40,,,,
511,1986,Norway,b'Ketil Stokkan',b'Romeo',12,44,,,,
512,1986,Portugal,b'Dora',b'N\xc3\xa3o Sejas Mau Para Mim',14,28,,,,
513,1986,Spain,b'Cadillac',b'Valentino',10,51,,,,
514,1986,Sweden,b'Lasse Holm and Monica T\xc3\xb6rnell',"b""E' De' Det H\xc3\xa4r Du Kallar K\xc3\xa4rlek""",5,78,,,,
515,1986,Switzerland,b'Daniela Simons',b'Pas Pour Moi',2,140,,,,
516,1986,Turkey,b'Klips ve Onlar',b'Halley',9,53,,,,
517,1986,United Kingdom,b'Ryder',b'Runner In The Night',7,72,,,,
518,1986,Yugoslavia,b'Doris Dragovic',b'Zeljo Moja',11,49,,,,
519,1987,Austria,b'Gary Lux',b'Nur Noch Gef\xc3\xbchl',20,8,,,,
520,1987,Belgium,b'Liliane Saint-Pierre',b'Soldiers Of Love',11,56,,,,
521,1987,Cyprus,b'Alexia',b'Aspro Mavro',7,80,,,,
522,1987,Denmark,b'Anne-Catherine Herdorf and Bandjo',b'En Lille Melodi',5,83,,,,
523,1987,Finland,b'Vicky Rosti',b'Sata Salamaa',15,32,,,,
524,1987,France,b'Christine Minier',"b""Les Mots D'amour N'ont Pas De Dimanche""",14,44,,,,
525,1987,Germany,b'Wind',b'La\xc3\x9f Die Sonne In Dein Herz',2,141,,,,
526,1987,Greece,b'Bang',b'Stop!',10,64,,,,
527,1987,Iceland,b'Halla Margar\xc3\xa9t',b'H\xc3\xa6gt Og Hlj\xc3\xb3tt',16,28,,,,
528,1987,Ireland,b'Johnny Logan',b'Hold Me Now',1,172,,,,
529,1987,Israel,b'Datner and Kushnir',b'Shir Habatlanim',8,73,,,,
530,1987,Italy,b'Umberto Tozzi and Raf',b'Gente Di Mare',3,103,,,,
531,1987,Luxembourg,b'Plastic Bertrand',b'Amour Amour',21,4,,,,
532,1987,Netherlands,b'Marcha',b'Rechtop In De Wind',5,83,,,,
533,1987,Norway,b'Kate Gulbrandsen',b'Mitt Liv',9,65,,,,
534,1987,Portugal,b'Nevada',b'Neste Barco \xc3\xa0 Vela',18,15,,,,
535,1987,Spain,b'Patricia Kraus',b'No Est\xc3\xa1s Solo',19,10,,,,
536,1987,Sweden,b'Lotta Engberg',b'Boogaloo',12,50,,,,
537,1987,Switzerland,b'Carole Rich',b'Moiti\xc3\xa9 Moiti\xc3\xa9',17,26,,,,
538,1987,Turkey,b'Seyyal Tanner and Lokomotif',b'Sarkim Sevgi \xc3\xbcst\xc3\xbcne',22,0,,,,
539,1987,United Kingdom,b'Rikki',b'Only The Light',13,47,,,,
540,1987,Yugoslavia,b'Novi Fosili',b'Ja Sam Za Ples',4,92,,,,
541,1988,Austria,b'Wilfried',b'Lisa Mona Lisa',21,0,,,,
542,1988,Belgium,b'Reynaert',b'Laissez Briller Le Soleil',18,5,,,,
543,1988,Denmark,b'Hot Eyes',"b""Ka' Du Se Hva' Jeg Sa'""",3,92,,,,
544,1988,Finland,b'Boulevard',b'Nauravat Silm\xc3\xa4t Muistetaan',20,3,,,,
545,1988,France,b'G\xc3\xa9rard Lenorman',b'Chanteur De Charme',10,64,,,,
546,1988,Germany,b'Maxi and Chris Garden',b'Lied F\xc3\xbcr Einen Freund',14,48,,,,
547,1988,Greece,b'Aphroditi Fryda',b'Kloun',17,10,,,,
548,1988,Iceland,b'Beathoven',b'S\xc3\xb3krates',16,20,,,,
549,1988,Ireland,b'Jump the Gun',b'Take Him Home',8,79,,,,
550,1988,Israel,b'Yardena Arazi',b'Ben Adam',7,85,,,,
551,1988,Italy,b'Luca Barbarossa',b'Ti Scrivo',12,52,,,,
552,1988,Luxembourg,b'Lara Fabian',b'Croire',4,90,,,,
553,1988,Netherlands,b'Gerard Joling',b'Shangri-la',9,70,,,,
554,1988,Norway,b'Karoline Kr\xc3\xbcger',b'For V\xc3\xa5r Jord',5,88,,,,
555,1988,Portugal,b'Dora',b'Voltarei',18,5,,,,
556,1988,Spain,b'La D\xc3\xa9cada',b'La Chica Que Yo Quiero (made In Spain)',11,58,,,,
557,1988,Sweden,b'Tommy K\xc3\xb6rberg',b'Stad I Ljus',12,52,,,,
558,1988,Switzerland,b'C\xc3\xa9line Dion',b'Ne Partez Pas Sans Moi',1,137,,,,
559,1988,Turkey,b'MF\xc3\x96',b'Sufi (hey Ya Hey)',15,37,,,,
560,1988,United Kingdom,b'Scott Fitzgerald',b'Go',2,136,,,,
561,1988,Yugoslavia,b'Srebrna Krila',b'Mangup',6,87,,,,
562,1989,Austria,b'Thomas Forstner',b'Nur Ein Lied',5,97,,,,
563,1989,Belgium,b'Ingeborg',b'Door De Wind',19,13,,,,
564,1989,Cyprus,b'Fanny Polymeri and Yiannis Savvidakis',b'Apopse As Vrethoume',11,51,,,,
565,1989,Denmark,b'Birthe Kj\xc3\xa6r',b'Vi Maler Byen R\xc3\xb8d',3,111,,,,
566,1989,Finland,b'Anneli Saaristo',b'La Dolce Vita',7,76,,,,
567,1989,France,b'Nathalie P\xc3\xa2que',"b""J'ai Vol\xc3\xa9 La Vie""",8,60,,,,
568,1989,Germany,b'Nino de Angelo',b'Flieger',14,46,,,,
569,1989,Greece,b'Marianna',b'To Diko Sou Asteri',9,56,,,,
570,1989,Iceland,b'Dan\xc3\xadel Aug\xc3\xbast Haraldsson',b'\xc3\x9ea\xc3\xb0 Sem Enginn S\xc3\xa9r',22,0,,,,
571,1989,Ireland,b'Kiev Connolly and the Missing Passengers',b'The Real Me',18,21,,,,
572,1989,Israel,b'Gili ve Galit',"b""Derech Ha'melech""",12,50,,,,
573,1989,Italy,b'Anna Oxa and Fausto Leali',b'Avrei Voluto',9,56,,,,
574,1989,Luxembourg,b'Park Caf\xc3\xa9',b'Monsieur',20,8,,,,
575,1989,Netherlands,b'Justine Pelmelay',b'Blijf Zoals Je Bent',15,45,,,,
576,1989,Norway,b'Britt Synn\xc3\xb8ve Johansen',b'Venners N\xc3\xa6rhet',17,30,,,,
577,1989,Portugal,b'Da Vinci',b'Conquistador',16,39,,,,
578,1989,Spain,b'Nina',b'Nacida Para Amar',6,88,,,,
579,1989,Sweden,b'Tommy Nilsson',b'En Dag',4,110,,,,
580,1989,Switzerland,b'Furbaz',b'Viver Senza Tei',13,47,,,,
581,1989,Turkey,b'Pan',b'Bana Bana',21,5,,,,
582,1989,United Kingdom,b'Live Report',b'Why Do I Always Get It Wrong',2,130,,,,
583,1989,Yugoslavia,b'Riva',b'Rock Me',1,137,,,,
584,1990,Austria,b'Simone',b'Keine Mauern Mehr',10,58,,,,
585,1990,Belgium,b'Philippe Lafontaine',b'Mac\xc3\xa9domienne',12,46,,,,
586,1990,Cyprus,b'Haris Anastasiou',b'Milas Poli',14,36,,,,
587,1990,Denmark,b'Lonnie Devantier',b'Hallo Hallo',8,64,,,,
588,1990,Finland,b'Beat',b'Fri?',21,8,,,,
589,1990,France,b'Joelle Ursull',b'White And Black Blues',2,132,,,,
590,1990,Germany,b'Chris Kempers and Daniel Kovac',b'Frei Zu Leben',9,60,,,,
591,1990,Greece,b'Christos Callow and Wave',b'Horis Skopo',19,11,,,,
592,1990,Iceland,b'Stj\xc3\xb3rnin',b'Eitt Lag Enn',4,124,,,,
593,1990,Ireland,b'Liam Reilly',b'Somewhere In Europe',2,132,,,,
594,1990,Israel,b'Rita',b'Shara Barechovot',18,16,,,,
595,1990,Italy,b'Toto Cutugno',b'Insieme: 1992',1,149,,,,
596,1990,Luxembourg,b'C\xc3\xa9line Carzo',b'Quand Je Te R\xc3\xaave',13,38,,,,
597,1990,Netherlands,b'Maywood',b'Ik Wil Alles Met Je Delen',15,25,,,,
598,1990,Norway,b'Ketil Stokkan',b'Brandenburger Tor',21,8,,,,
599,1990,Portugal,b'Nucha',b'H\xc3\xa1 Sempre Algu\xc3\xa9m',20,9,,,,
600,1990,Spain,b'Az\xc3\xbacar Moreno',b'Bandido',5,96,,,,
601,1990,Sweden,b'Edin-\xc3\x85dahl',b'Som En Vind',16,24,,,,
602,1990,Switzerland,b'Egon Egemann',b'Musik Klingt In Die Welt Hinaus',11,51,,,,
603,1990,Turkey,b'Kayahan',b'G\xc3\xb6zlerinin Hapsindeyim',17,21,,,,
604,1990,United Kingdom,b'Emma',b'Give A Little Love Back To The World',6,87,,,,
605,1990,Yugoslavia,b'Tajci',b'Hajde Da Ludujemo',7,81,,,,
606,1991,Austria,b'Thomas Forstner',b'Venedig Im Regen',22,0,,,,
607,1991,Belgium,b'Clouseau',b'Geef Het Op',16,23,,,,
608,1991,Cyprus,b'Elena Patroclou',b'S.o.s.',9,60,,,,
609,1991,Denmark,b'Anders Frandsen',b'Lige Der Hvor Hjertet Sl\xc3\xa5r',19,8,,,,
610,1991,Finland,b'Kaija',b'Hullu Y\xc3\xb6',20,6,,,,
611,1991,France,b'Amina',"b""C'est Le Dernier Qui A Parl\xc3\xa9 Qui A Raison""",2,146,,,,
612,1991,Germany,b'Atlantis 2000',b'Dieser Traum Darf Niemals Sterben',18,10,,,,
613,1991,Greece,b'Sofia Vossou',b'I Anixi',13,36,,,,
614,1991,Iceland,b'Stef\xc3\xa1n and Eyfi',b'Nina',15,26,,,,
615,1991,Ireland,b'Kim Jackson',"b""Could It Be That I'm In Love""",10,47,,,,
616,1991,Israel,b'Duo Datz',b'Kan',3,139,,,,
617,1991,Italy,b'Peppino di Capri',"b""Comme E' Ddoce 'o Mare""",7,89,,,,
618,1991,Luxembourg,b'Sarah Bray',b'Un Baiser Vol\xc3\xa9',14,29,,,,
619,1991,Malta,b'Paul Giordimaina and Georgina',b'Could It Be',6,106,,,,
620,1991,Norway,b'Just 4 Fun',b'Mrs. Thompson',17,14,,,,
621,1991,Portugal,b'Dulce',b'Lusitana Paix\xc3\xa3o',8,62,,,,
622,1991,Spain,b'Sergio Dalma',b'Bailar Pegados',4,119,,,,
